,bgcolor,dx,dy,edgecolor,frame,play,player,player_num,team,x,y,z
107,blue,-0.100694965,-0.072708771,black,8,ARSVSCHE,10,,attack,44.0079016,40.58833377,0
108,blue,-0.054729704,-0.269990809,black,9,ARSVSCHE,10,,attack,44.0626313,40.85832458,0
109,blue,-0.082819065,0.140789128,black,10,ARSVSCHE,10,,attack,44.14545037,40.71753545,0
110,red,18.49237939,21.39525586,black,0,ARSVSCHE,11,,attack,27.17795139,22.51599702,0
111,red,0.230034722,-0.961681548,black,1,ARSVSCHE,11,,attack,26.94791667,23.47767857,0
112,red,-0.182291667,-0.212053571,black,2,ARSVSCHE,11,,attack,27.13020833,23.68973214,0
113,red,-0.345982143,0.591517857,black,3,ARSVSCHE,11,,attack,27.47619048,23.09821429,0
114,red,-0.077380952,0.142857143,black,4,ARSVSCHE,11,,attack,27.55357143,22.95535714,0
115,red,0.298971861,-0.779220779,black,5,ARSVSCHE,11,,attack,27.25459957,23.73457792,0
116,red,0.266620284,-0.737824675,black,6,ARSVSCHE,11,,attack,26.98797928,24.4724026,0
117,red,0.07538072,0.20799513,black,7,ARSVSCHE,11,,attack,26.91259856,24.26440747,0
118,red,-0.018118043,0.09963474,black,8,ARSVSCHE,11,,attack,26.9307166,24.16477273,0
119,red,0.12012541,-0.505182318,black,9,ARSVSCHE,11,,attack,26.81059119,24.66995504,0
120,red,-0.082306087,-0.26791958,black,10,ARSVSCHE,11,,attack,26.89289728,24.93787463,0
121,blue,61.83094662,31.05736217,black,0,ARSVSCHE,12,,attack,31.49590774,7.954985119,0
122,blue,0.396205357,-1.110491071,black,1,ARSVSCHE,12,,attack,31.09970238,9.06547619,0
123,blue,-0.336681548,0.671502976,black,2,ARSVSCHE,12,,attack,31.43638393,8.393973214,0
124,blue,-0.435852466,0.975393282,black,3,ARSVSCHE,12,,attack,31.87223639,7.418579932,0
125,blue,-0.089870323,0.089232568,black,4,ARSVSCHE,12,,attack,31.96210672,7.329347364,0
126,blue,0.386851616,-1.182769983,black,5,ARSVSCHE,12,,attack,31.5752551,8.512117347,0
127,blue,0.283163265,-1.022959184,black,6,ARSVSCHE,12,,attack,31.29209184,9.535076531,0
128,blue,0.148596939,-0.390306122,black,7,ARSVSCHE,12,,attack,31.1434949,9.925382653,0
129,blue,-0.021683673,-0.016581633,black,8,ARSVSCHE,12,,attack,31.16517857,9.941964286,0
130,blue,-0.118622449,0.215561224,black,9,ARSVSCHE,12,,attack,31.28380102,9.726403061,0
131,blue,-0.241071429,0.093112245,black,10,ARSVSCHE,12,,attack,31.52487245,9.633290816,0
132,blue,15.56498723,-5.155807788,black,0,ARSVSCHE,13,,attack,34.84257669,31.14118508,0
133,blue,0.126345009,-0.37580537,black,1,ARSVSCHE,13,,attack,34.71623168,31.51699045,0
134,blue,-0.036343864,-0.227098051,black,2,ARSVSCHE,13,,attack,34.75257555,31.7440885,0
135,blue,-0.192479396,0.552075157,black,3,ARSVSCHE,13,,attack,34.94505495,31.19201334,0
136,blue,-0.099645147,0.659888475,black,4,ARSVSCHE,13,,attack,35.04470009,30.53212487,0
137,blue,0.091403388,0.303416078,black,5,ARSVSCHE,13,,attack,34.9532967,30.22870879,0
138,blue,0.100446429,0.015625,black,6,ARSVSCHE,13,,attack,34.85285027,30.21308379,0
139,blue,0.049793956,0.160370879,black,7,ARSVSCHE,13,,attack,34.80305632,30.05271291,0
140,blue,0.022664835,-0.024725275,black,8,ARSVSCHE,13,,attack,34.78039148,30.07743819,0
141,blue,-0.052655678,-0.202838828,black,9,ARSVSCHE,13,,attack,34.83304716,30.28027701,0
142,blue,-0.179716117,-0.206272894,black,10,ARSVSCHE,13,,attack,35.01276328,30.48654991,0
143,blue,0.725122867,-66.98147697,black,1,ARSVSCHE,14,,attack,32.8946688,99.2991853,0
144,blue,-0.067671626,0.822098379,black,2,ARSVSCHE,14,,attack,32.96234043,98.47708692,0
145,blue,-0.312790429,0.316523728,black,3,ARSVSCHE,14,,attack,33.27513085,98.16056319,0
146,blue,-0.155653951,0.106737494,black,4,ARSVSCHE,14,,attack,33.43078481,98.0538257,0
147,blue,0.056464512,0.561287623,black,5,ARSVSCHE,14,,attack,33.37432029,97.49253808,0
148,blue,0.134499393,0.048668853,black,6,ARSVSCHE,14,,attack,33.2398209,97.44386922,0
149,blue,-0.215215684,-0.9558559,black,7,ARSVSCHE,14,,attack,33.45503658,98.39972512,0
150,blue,-0.237704098,-1.125184296,black,8,ARSVSCHE,14,,attack,33.69274068,99.52490942,0
151,blue,-0.025269313,-0.035216906,black,9,ARSVSCHE,14,,attack,33.71801,99.56012633,0
152,blue,0.024192235,0.633687391,black,10,ARSVSCHE,14,,attack,33.69381776,98.92643893,0
153,red,18.58055568,-21.53139925,black,3,ARSVSCHE,16,,attack,30.19216424,72.50553523,0
154,red,-0.57856958,1.260344223,black,4,ARSVSCHE,16,,attack,30.77073381,71.24519101,0
155,red,-0.008604411,1.180323777,black,5,ARSVSCHE,16,,attack,30.77933823,70.06486723,0
156,red,0.001303368,0.28371761,black,6,ARSVSCHE,16,,attack,30.77803486,69.78114962,0
157,red,-0.005295093,-1.284901181,black,7,ARSVSCHE,16,,attack,30.78332995,71.0660508,0
158,red,-0.038263217,-0.423422884,black,8,ARSVSCHE,16,,attack,30.82159317,71.48947369,0
159,red,0.148996742,-0.493546157,black,9,ARSVSCHE,16,,attack,30.67259642,71.98301984,0
160,red,-0.092910679,0.121024346,black,10,ARSVSCHE,16,,attack,30.7655071,71.8619955,0
161,blue,24.92034547,-18.19384094,black,7,ARSVSCHE,17,,attack,33.67441716,62.44769386,0
162,blue,0.139663938,-0.488930248,black,8,ARSVSCHE,17,,attack,33.53475322,62.93662411,0
163,blue,0.082000248,0.621683469,black,9,ARSVSCHE,17,,attack,33.45275298,62.31494064,0
164,blue,-0.053187481,0.668484882,black,10,ARSVSCHE,17,,attack,33.50594046,61.64645576,0
165,blue,73.11422475,20.88153152,black,7,ARSVSCHE,18,,attack,25.67518939,15.77943723,0
166,blue,0.129419192,-0.252119408,black,8,ARSVSCHE,18,,attack,25.5457702,16.03155664,0
167,blue,0.036300505,-0.092983405,black,9,ARSVSCHE,18,,attack,25.5094697,16.12454004,0
168,blue,0.149729437,-0.49396645,black,10,ARSVSCHE,18,,attack,25.35974026,16.61850649,0
